ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12135248,JD331877,08/14/2020 08:00:00 AM,085XX S DREXEL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,632.0,6.0,8.0,44.0,14,1183717.0,1848470.0,2020.0,08/21/2020 03:53:36 PM,41.739384948,-87.602470462,"(41.739384948, -87.602470462)"
12136051,JD332863,08/14/2020 11:20:00 PM,003XX N WELLS ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,False,1831.0,18.0,42.0,8.0,04B,1174672.0,1902818.0,2020.0,08/21/2020 03:53:36 PM,41.888726932,-87.63398913,"(41.888726932, -87.63398913)"
12136847,JD333830,08/14/2020 11:00:00 PM,062XX N MAPLEWOOD AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",RESIDENCE,False,False,2413.0,24.0,50.0,2.0,07,1158193.0,1941330.0,2020.0,08/21/2020 03:53:36 PM,41.99475896,-87.693450377,"(41.99475896, -87.693450377)"
12139229,JD332186,08/12/2020 04:00:00 PM,060XX S WASHTENAW AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,825.0,8.0,16.0,66.0,08A,1159412.0,1864480.0,2020.0,08/21/2020 03:51:30 PM,41.783850708,-87.69108219,"(41.783850708, -87.69108219)"
12136392,JD333155,08/14/2020 04:30:00 PM,043XX N CENTRAL AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1624.0,16.0,38.0,15.0,10,1138223.0,1928483.0,2020.0,08/21/2020 03:53:36 PM,41.959891679,-87.767222504,"(41.959891679, -87.767222504)"
12135526,JD332244,08/14/2020 02:00:00 PM,009XX W BELMONT AVE,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,1933.0,19.0,44.0,6.0,08A,1169243.0,1921430.0,2020.0,08/21/2020 03:53:36 PM,41.939918986,-87.653384435,"(41.939918986, -87.653384435)"
12135378,JD331974,08/14/2020 11:09:00 AM,066XX S HALSTED ST,0560,ASSAULT,SIMPLE,GAS STATION,False,False,723.0,7.0,6.0,68.0,08A,1172118.0,1860614.0,2020.0,08/21/2020 03:53:36 PM,41.772972076,-87.644610871,"(41.772972076, -87.644610871)"
12138813,JD335745,08/14/2020 02:00:00 PM,089XX S EAST END AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,413.0,4.0,8.0,48.0,11,1189114.0,1846016.0,2020.0,08/21/2020 03:53:36 PM,41.732523452,-87.58277545,"(41.732523452, -87.58277545)"
12135036,JD331698,08/14/2020 02:25:00 AM,075XX S HOYNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,611.0,6.0,18.0,71.0,08B,1163625.0,1854479.0,2020.0,08/21/2020 03:53:36 PM,41.756319196,-87.675915998,"(41.756319196, -87.675915998)"
12139623,JD337136,08/05/2020 03:00:00 PM,036XX W 68TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,833.0,8.0,13.0,65.0,11,1153311.0,1859275.0,2020.0,08/21/2020 03:51:30 PM,41.769690259,-87.713588436,"(41.769690259, -87.713588436)"
12136004,JD332880,08/14/2020 11:20:00 PM,055XX S HERMITAGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,715.0,7.0,15.0,67.0,15,1165626.0,1867814.0,2020.0,08/21/2020 03:53:36 PM,41.792869991,-87.668204752,"(41.792869991, -87.668204752)"
12136721,JD333633,08/14/2020 06:00:00 PM,018XX W LUNT AVE,0810,THEFT,OVER $500,STREET,False,False,2424.0,24.0,49.0,1.0,06,1162647.0,1946529.0,2020.0,08/21/2020 03:53:36 PM,42.00893266,-87.676919886,"(42.00893266, -87.676919886)"
12135387,JD332031,08/14/2020 11:34:00 AM,007XX W DIVERSEY PKWY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1934.0,19.0,44.0,6.0,06,1170697.0,1918825.0,2020.0,08/21/2020 03:53:36 PM,41.932738985,-87.648117094,"(41.932738985, -87.648117094)"
12135126,JD331663,08/14/2020 12:57:00 AM,058XX W BYRON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1633.0,16.0,38.0,15.0,08B,1136690.0,1925327.0,2020.0,08/21/2020 03:53:36 PM,41.951258958,-87.772934481,"(41.951258958, -87.772934481)"
12135376,JD331924,08/14/2020 10:36:00 AM,070XX S ABERDEEN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,733.0,7.0,6.0,68.0,15,1170198.0,1858191.0,2020.0,08/21/2020 03:53:36 PM,41.76636504,-87.651719483,"(41.76636504, -87.651719483)"
12135959,JD332892,08/14/2020 11:59:00 PM,063XX W CORTLAND ST,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,2513.0,25.0,29.0,25.0,18,1134170.0,1911964.0,2020.0,08/21/2020 03:53:36 PM,41.914634214,-87.782513664,"(41.914634214, -87.782513664)"
12135690,JD332505,08/14/2020 03:00:00 AM,066XX S BISHOP ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,725.0,7.0,16.0,67.0,04B,1167806.0,1860811.0,2020.0,08/21/2020 03:53:36 PM,41.77360634,-87.660411912,"(41.77360634, -87.660411912)"
12135297,JD331778,08/14/2020 07:00:00 AM,001XX E 119TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,532.0,5.0,9.0,53.0,14,1179202.0,1825755.0,2020.0,08/21/2020 03:53:36 PM,41.677155959,-87.61970223,"(41.677155959, -87.61970223)"
12135705,JD332509,08/14/2020 03:30:00 PM,063XX S DREXEL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),False,False,312.0,3.0,20.0,42.0,14,1183482.0,1863205.0,2020.0,08/21/2020 03:53:36 PM,41.779824738,-87.60287304,"(41.779824738, -87.60287304)"
12139732,JD336340,06/14/2020 09:30:00 AM,046XX S ALBANY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,922.0,9.0,14.0,58.0,11,1156484.0,1873706.0,2020.0,08/21/2020 03:51:30 PM,41.809227646,-87.7015688,"(41.809227646, -87.7015688)"
